Company,Job_Titles,Location,Skills
Techsolvo,Web Development,Indore,"['HTML', 'CSS', 'JavaScript', 'React', 'Bootstrap', 'Git']"
Inventive Cafe,Social Media Marketing,Work From Home,"['Instagram', 'Facebook', 'Content Creation', 'Analytics', 'Canva']"
Linkruit,Human Resources (HR),Ahmedabad,"['Communication', 'MS Excel', 'Recruitment', 'MS Office', 'HR Management']"
Foyr,Business Development (Sales),Hyderabad,"['Communication', 'MS Excel', 'Market Research', 'CRM', 'Sales']"
Vivifi Private Limited,Human Resources (HR),Hyderabad,"['Communication', 'MS Excel', 'Recruitment', 'MS Office', 'HR Management']"
UnGap,Social Media Marketing,Mumbai,"['Instagram', 'Facebook', 'Content Creation', 'Analytics', 'Canva']"
Housr Technologies Private Limited,Business Development (Sales),Gurgaon,"['Communication', 'MS Excel', 'Market Research', 'CRM', 'Sales']"
International Model United Nations,Video Making/Editing,Work From Home,"['Communication', 'MS Office', 'Problem Solving', 'Teamwork', 'Time Management']"
Three Millennials,Web Development,Work From Home,"['HTML', 'CSS', 'JavaScript', 'React', 'Bootstrap', 'Git']"
The Voice Of Woman,Social Media Marketing,Work From Home,"['Instagram', 'Facebook', 'Content Creation', 'Analytics', 'Canva']"
Pehchan,Web Development,Mumbai,"['HTML', 'CSS', 'JavaScript', 'React', 'Bootstrap', 'Git']"
Qwerty Thoughts,Digital Marketing,Work From Home,"['SEO', 'Google Ads', 'Social Media', 'Content Marketing', 'Analytics']"
Web Design Media,Human Resources (HR),Jaipur,"['Communication', 'MS Excel', 'Recruitment', 'MS Office', 'HR Management']"
Juzlyktat,Digital Marketing,Chennai,"['SEO', 'Google Ads', 'Social Media', 'Content Marketing', 'Analytics']"
OfferGrid Networks Private Limited,Business Development (Sales),Bangalore,"['Communication', 'MS Excel', 'Market Research', 'CRM', 'Sales']"
Healthycious Care,Digital Marketing,Work From Home,"['SEO', 'Google Ads', 'Social Media', 'Content Marketing', 'Analytics']"
TheWhyCulture,Content Writing,Work From Home,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
GaugeHow.com,Content Writing (Mechanical Engineering),Work From Home,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
IICAE,CAD Design,Indore,"['Communication', 'MS Office', 'Problem Solving', 'Teamwork', 'Time Management']"
Qilin Lab,Marketing,Bangalore,"['Market Research', 'Communication', 'MS Excel', 'SEO', 'Analytics']"
Indian Centre For Development And Rights,Fundraising,Work From Home,"['Communication', 'MS Office', 'Problem Solving', 'Teamwork', 'Time Management']"
Millligram IT,Web Development,Kolkata,"['HTML', 'CSS', 'JavaScript', 'React', 'Bootstrap', 'Git']"
Satyam Shukla,UI/UX Design,Work From Home,"['Figma', 'Adobe XD', 'Wireframing', 'Prototyping', 'User Research']"
Expanrr,Social Media Marketing,Work From Home,"['Instagram', 'Facebook', 'Content Creation', 'Analytics', 'Canva']"
Orgzit,Content Writing,Gurgaon,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
361 Degree Minds,Artificial Intelligence System (End User Testing),Chennai,"['Python', 'Machine Learning', 'TensorFlow', 'NLP', 'Scikit-learn']"
RetreatsForMe,Social Media Marketing,Delhi,"['Instagram', 'Facebook', 'Content Creation', 'Analytics', 'Canva']"
Innovatus Technologies Private Limited,Graphic Design,Work From Home,"['Adobe Photoshop', 'Illustrator', 'Canva', 'Typography', 'Color Theory']"
GradeStack Learning Private Limited,Academic Content Writing (UGC NET - Sociology & Home Science),Work From Home,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
Brand Aesthetics,Marketing,Mumbai,"['Market Research', 'Communication', 'MS Excel', 'SEO', 'Analytics']"
Interloop Consulting,Business Development (Sales),Delhi,"['Communication', 'MS Excel', 'Market Research', 'CRM', 'Sales']"
Sumit  Productions,Video Making/Editing,Delhi,"['Communication', 'MS Office', 'Problem Solving', 'Teamwork', 'Time Management']"
Dignity Software Private Limited,Digital Marketing,Delhi,"['SEO', 'Google Ads', 'Social Media', 'Content Marketing', 'Analytics']"
Petzapp,Business Development (Sales),Work From Home,"['Communication', 'MS Excel', 'Market Research', 'CRM', 'Sales']"
Dichroic Labs LLP,Poster Design,Work From Home,"['Communication', 'MS Office', 'Problem Solving', 'Teamwork', 'Time Management']"
Forever News,Web Development,Mumbai,"['HTML', 'CSS', 'JavaScript', 'React', 'Bootstrap', 'Git']"
